Genes	Sustaining proliferative signaling	Deregulating cellular energetics	Senescent cells	Nonmutational epigenetic reprogramming	Unlocking phenotypic plasticity	Evading growth suppressors	Avoiding immune destruction	Enabling replicative immortality	Tumour-promoting inflammation	Activating invasion and metastasis	Inducing angiogenesis	Genome instability and mutation	Resisting cell death
A1BG										Y			
AAAS				Y								Y	
AACS	Y	Y											
AADAT		Y											
AANAT		Y											
AARS	Y	Y											
AARS2		Y											
AASDHPPT		Y											
AASS		Y											
AATF													Y
ABAT		Y											
ABCB1		Y									Y		
ABCC8		Y											
ABCE1									Y				
ABCG2		Y									Y		
ABI1	Y									Y			
ABI2	Y												
ABL1						Y				Y	Y	Y	
ABR													Y
ABRAXAS1						Y				Y		Y	
ABRAXAS2										Y			
ACAA1		Y											
ACAA2		Y											
ACACA		Y							Y				
ACAD8		Y											
ACADL		Y											
ACADM		Y											
ACADS		Y											
ACADSB		Y											
ACADVL		Y											
ACAN										Y			
ACAT1		Y							Y				
ACAT2		Y							Y				
ACD								Y				Y	
ACHE		Y											
ACKR3									Y				
ACKR4									Y				
ACLY									Y				
ACO1		Y											
ACO2		Y											
ACOT1		Y											
ACOT11		Y											
ACOT12		Y							Y				
ACOT13		Y											
ACOT2		Y											
ACOT4		Y											
ACOT7		Y											
ACSBG1	Y	Y											
ACSBG2	Y	Y											
ACSL1	Y	Y											
ACSL3	Y	Y											
ACSL4	Y	Y											
ACSL5	Y	Y											
ACSL6	Y	Y											
ACSM1		Y											
ACSM2B		Y											
ACSM5		Y											
ACSS1		Y							Y				
ACSS2	Y	Y							Y				
ACSS3		Y											
ACTA1									Y				Y
ACTA2		Y							Y				
ACTB		Y		Y					Y	Y		Y	
ACTBL2									Y	Y			
ACTC1									Y				
ACTG1									Y	Y			
ACTG2		Y							Y				
ACTL6A	Y			Y								Y	
ACTL6B				Y									
ACTN1										Y			
ACTN2	Y	Y								Y	Y		
ACTN3		Y											
ACTN4										Y			
ACTR10							Y						
ACTR1A							Y						
ACTR1B							Y						
ACTR5												Y	
ACTR8												Y	
ACVR1	Y										Y		
ACVR1B	Y										Y		
ACVR1C											Y		
ACVR2A	Y										Y		
ACVR2B	Y										Y		
ACVRL1	Y										Y		
ACY1		Y											
ACYP2		Y											
ADA												Y	
ADAM10											Y		
ADAM12										Y	Y		
ADAM15										Y			
ADAM17	Y										Y		Y
ADAM2										Y			
ADAM8										Y			
ADAP1	Y												
ADAR									Y				
ADCY1		Y											
ADCY10		Y											
ADCY2		Y							Y				
ADCY3		Y											
ADCY4		Y											
ADCY5		Y							Y				
ADCY6		Y							Y				
ADCY7		Y											
ADCY8		Y											
ADCY9		Y											
ADGRA2										Y	Y		
ADH1A		Y											
ADH1B		Y											
ADH1C		Y											
ADH4		Y											
ADH5		Y											
ADH6		Y											
ADH7		Y											
ADIPOQ		Y											
ADIPOR1		Y											
ADIPOR2		Y											
ADK		Y											
ADM		Y									Y		
ADORA2A		Y									Y		
ADPGK	Y	Y											
ADPRM	Y	Y											
ADRA2A		Y											
ADRA2C		Y											
ADRM1												Y	
ADSL	Y	Y											
AEBP2				Y									
AEN												Y	
AFDN										Y			
AFP						Y						Y	
AGAP2	Y												
AGER							Y		Y	Y			
AGL		Y											
AGO1			Y								Y		
AGO2											Y		
AGO3			Y								Y		
AGO4			Y								Y		
AGPAT1		Y											
AGPAT2		Y											
AGPAT3		Y											
AGPAT4		Y											
AGPAT5		Y											
AGRN										Y	Y		
AGT							Y		Y	Y	Y		
AGTR1											Y		
AGXT		Y											
AHCY				Y									
AHCYL1		Y											
AIFM1													Y
AIFM2						Y							
AIMP1	Y	Y											
AIMP2	Y	Y											
AJUBA										Y	Y		
AK1		Y					Y						
AK2		Y											
AK3		Y											
AKAP1		Y											
AKAP13													Y
AKAP5		Y											
AKR1A1		Y											
AKR1B1		Y											
AKR1B10		Y											
AKT1	Y	Y			Y	Y	Y		Y	Y	Y		Y
AKT1S1	Y	Y									Y		
AKT2	Y	Y				Y			Y	Y	Y		Y
AKT3	Y	Y				Y			Y		Y		Y
ALAS1		Y											
ALAS2		Y											
ALDH1B1		Y											
ALDH2		Y											
ALDH3A1		Y											
ALDH3A2		Y											
ALDH3B1		Y											
ALDH4A1		Y											
ALDH6A1		Y											
ALDH7A1		Y											
ALDH9A1	Y												
ALDOA		Y									Y		
ALDOB		Y											
ALDOC		Y											
ALK	Y										Y		
ALOX12									Y				
ALOX15									Y				
ALOX5AP									Y				
AMDHD2		Y											
AMHR2	Y										Y		
AMPD1		Y											
AMPD2		Y											
AMPD3		Y											
ANAPC1			Y			Y	Y						
ANAPC10			Y			Y	Y						
ANAPC11			Y			Y	Y						
ANAPC15			Y			Y	Y						
ANAPC16			Y			Y	Y						
ANAPC2			Y			Y	Y						
ANAPC4			Y			Y	Y						
ANAPC5			Y			Y	Y						
ANAPC7			Y			Y	Y						
ANGPT1	Y	Y									Y		
ANGPT2											Y		
ANGPT4											Y		
ANGPTL3										Y	Y		
ANKRD6											Y		
ANXA1		Y											
ANXA2		Y											
ANXA6		Y											
AP1B1							Y						
AP1G1							Y						
AP1M1							Y			Y			
AP1M2							Y						
AP1S1							Y						
AP1S2							Y						
AP1S3							Y						
AP2A1							Y						
AP2A2							Y						
AP2B1							Y						
AP2M1							Y						
AP2S1							Y						
APAF1	Y					Y							Y
APBB1IP	Y									Y			
APC	Y					Y				Y	Y		
APC2											Y		
APCS		Y											
APEX1		Y									Y		
APH1A											Y		Y
APH1B											Y		Y
APOB										Y			
APP		Y					Y		Y		Y		Y
APRT	Y	Y											
AQP3										Y			
AQP5										Y			
AQR												Y	
AR	Y									Y	Y		
ARAF	Y	Y							Y	Y	Y		
ARAP3	Y									Y	Y		
AREG	Y	Y									Y		
ARF1							Y			Y			
ARF6	Y	Y					Y		Y	Y	Y		Y
ARFGAP1	Y									Y			
ARG1	Y												
ARHGAP1	Y										Y		
ARHGAP10										Y	Y		
ARHGAP12											Y		
ARHGAP15											Y		
ARHGAP26										Y	Y		
ARHGAP35	Y												
ARHGAP4											Y		
ARHGAP42											Y		
ARHGAP5											Y		
ARHGAP6											Y		
ARHGAP8	Y										Y		
ARHGAP9											Y		
ARHGDIA										Y			
ARHGDIB													Y
ARHGEF1										Y	Y		Y
ARHGEF10													Y
ARHGEF10L													Y
ARHGEF11													Y
ARHGEF12													Y
ARHGEF15													Y
ARHGEF16													Y
ARHGEF17													Y
ARHGEF18										Y			Y
ARHGEF19													Y
ARHGEF2										Y			Y
ARHGEF25										Y			
ARHGEF26													Y
ARHGEF3													Y
ARHGEF33													Y
ARHGEF35													Y
ARHGEF37													Y
ARHGEF38													Y
ARHGEF39													Y
ARHGEF4	Y									Y			Y
ARHGEF40													Y
ARHGEF5													Y
ARHGEF6										Y	Y		Y
ARHGEF7	Y									Y	Y		Y
ARHGEF9													Y
ARID1A				Y							Y		
ARID1B				Y									
ARID2				Y									
ARID3A	Y					Y							
ARID4A				Y									
ARID4B				Y									
ARID5B				Y									
ARL1										Y			
ARL2		Y					Y						
ARL2BP		Y					Y						
ARNT		Y									Y		
ARPC1A									Y	Y			
ARPC1B									Y	Y			
ARPC2									Y	Y			
ARPC3									Y	Y			
ARPC4									Y				
ARPC5									Y	Y			
ARPC5L									Y	Y			
ARR3											Y		
ARRB1	Y										Y		
ARRB2	Y						Y		Y	Y	Y		Y
ARTN	Y	Y									Y		
ASAH1		Y											Y
ASAP1	Y									Y	Y		
ASCL1											Y		
ASF1A			Y										
ASH1L				Y									
ASH2L				Y									
ASIP		Y											
ASNS	Y	Y											
ASPA		Y											
ASPH		Y											
ASS1	Y	Y											
ATAT1		Y											
ATF1	Y												Y
ATF2	Y			Y								Y	Y
ATF3						Y							Y
ATF4			Y										Y
ATF6													Y
ATF6B													Y
ATF7													Y
ATF7IP				Y									
ATG12							Y						
ATG13	Y												
ATG5							Y						
ATM	Y					Y		Y				Y	
ATP1B4						Y							
ATP2A1		Y									Y		
ATP2A2	Y	Y									Y		
ATP2A3		Y									Y		
ATP2B1		Y											
ATP2B2		Y											
ATP2B3		Y											
ATP2B4		Y											
ATP2C1		Y											
ATP2C2		Y											
ATP6AP1		Y											
ATP6V0A1		Y											
ATP6V0A2		Y											
ATP6V0A4		Y											
ATP6V0B		Y											
ATP6V0C		Y											
ATP6V0D1		Y											
ATP6V0D2		Y											
ATP6V0E1		Y											
ATP6V0E2		Y											
ATP6V1A		Y											
ATP6V1B1		Y											
ATP6V1B2		Y											
ATP6V1C1		Y											
ATP6V1C2		Y											
ATP6V1D		Y											
ATP6V1E1		Y											
ATP6V1E2		Y											
ATP6V1F		Y											
ATP6V1G1		Y											
ATP6V1G2		Y											
ATP6V1G3		Y											
ATP6V1H		Y											
ATR						Y		Y				Y	
ATRIP						Y		Y				Y	
ATXN7				Y									
ATXN7L3				Y									
AURKA	Y					Y	Y			Y			
AURKB						Y	Y					Y	
AWAT2		Y											
AXIN1	Y										Y		
AXIN2											Y		
AXL	Y											Y	
AZIN2	Y												
B2M	Y						Y						
B4GALT1		Y									Y		
BAAT		Y											
BABAM1						Y				Y		Y	
BABAM2						Y				Y		Y	
BAD	Y	Y			Y					Y	Y		Y
BAG3													Y
BAG4	Y	Y									Y		Y
BAIAP2	Y												
BAK1						Y						Y	Y
BAMBI									Y				
BARD1						Y		Y		Y		Y	
BAX	Y					Y						Y	Y
BBC3						Y						Y	Y
BCAN										Y			
BCAR1	Y									Y	Y		
BCAT1	Y	Y											
BCAT2		Y											
BCHE		Y											
BCKDHA		Y											
BCKDHB		Y											
BCL2	Y				Y	Y							Y
BCL2A1						Y							
BCL2L1	Y					Y							Y
BCL2L10													Y
BCL2L11												Y	Y
BCL2L14						Y							Y
BCL2L2						Y							Y
BCL2L2-PABPN1						Y							Y
BCL6	Y					Y							Y
BCL9											Y		
BCR	Y												
BDKRB2						Y						Y	
BDNF	Y	Y									Y		Y
BEX3													Y
BGLAP	Y										Y		
BGN										Y			
BHLHE40		Y									Y	Y	
BHLHE41		Y									Y		
BID						Y							Y
BIK													Y
BIN1												Y	
BIRC2													Y
BIRC3													Y
BIRC5	Y					Y					Y	Y	Y
BLK	Y	Y					Y		Y	Y	Y		Y
BLM						Y		Y				Y	
BLMH							Y						
BLNK	Y	Y					Y		Y	Y	Y		Y
BLOC1S1											Y		
BMF													Y
BMI1	Y		Y	Y								Y	
BMP2									Y				
BMPR1A	Y								Y		Y		
BMPR1B	Y								Y		Y		
BMPR2	Y								Y		Y		
BMX											Y		
BNIP3	Y	Y									Y		
BNIP3L						Y							
BOC										Y			
BOK													Y
BPGM		Y											
BPNT1	Y	Y											
BRAF	Y	Y					Y		Y	Y	Y		Y
BRAP	Y												
BRCA1	Y					Y		Y		Y		Y	
